"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","popularity","longitude","latitude","eventlength"
136,"Sevruga","dinner","Seafood",3,"12","22","12","22","12","22",3,"18.4240553","-33.9248685",2
137,"Truth Coffee","dinner","Cafe",1,"7.5","18","7.5","18","7.5","18",3,"18.4240553","-33.9248685",1
138,"Hudsons The Burger Joint","dinner","Burger",3,"12","23","12","23","12","23",3,"18.4240553","-33.9248685",2
139,"Da Vincis On Kloof","dinner","Burger",2,"11","23","11","23","11","23",3,"18.4240553","-33.9248685",1.5
140,"Balducci","dinner","Italian",2,"11","22","11","22","11","22",2,"18.4240553","-33.9248685",1.5
141,"Loco Lounge","dinner","Mediterranean",2,NA,NA,NA,NA,NA,NA,2,"18.4240553","-33.9248685",1.5
142,"The Fat Cactus","dinner","Mexican",2,"10","24","10","24","10","24",3,"18.4240553","-33.9248685",1.5
143,"96 Winery Road","dinner","African",3,"12",NA,"12",NA,"12",NA,1,"18.7923921","-34.0536482",2
144,"Rocomamas","dinner","Burger",2,"9","22","9","22","9","22",1,"18.4240553","-33.9248685",1.5
145,"HQ Restaurant - Heritage Square","dinner","Steakhouse",3,"12","24","12","24","12","24",3,"18.6463268","-33.8332137",2
146,"Ristorante Posticino","dinner","Italian",2,"24","23","24","23","24","23",3,"18.4240553","-33.9248685",1.5
147,"The Cousins Trattoria","dinner","Italian",2,"18","22","18","22","18","22",1,"18.4240553","-33.9248685",1.5
148,"The Odyssey","dinner","Burger",2,"11","24","11","24","11","24",2,"18.4240553","-33.9248685",1.5
149,"Zapata Mexican Restaurant","dinner","Mexican",2,NA,"22",NA,"22",NA,"22",1,"18.4240553","-33.9248685",1.5
150,"Olympia Cafe & Deli","dinner","Cafe",1,"7","21","7","21","7","21",2,"-75.2004528","38.3400528",1
